ID,Prompt,Left Option,Right Option,Left Meta,Right Meta,Psychology Type,Timer (s),Age Tier,Version,Paid,Wildcard
201,Big assignment due soon:,Night before cram,Start early plan,C-,C+,Big5-C,7,13-18,v1,No,No
202,Friend group drama erupts:,Be the peacemaker,Stay out of it,A+,A-,Big5-A,7,13-18,v1,No,No
203,You bombed a test badly:,Shake it off,Overthink all night,N-,N+,Big5-N,7,13-18,v1,No,No
204,Class presentation day arrives:,Speak up confidently,Handle slides duty,E,I,MBTI-EI,7,13-18,v1,No,No
205,Thinking about your future career:,Steady pay job,Follow your passion,S,N,MBTI-SN,7,13-18,v1,No,No
206,Teacher gave unfair grade:,Argue it logically,Accept and move on,T,F,MBTI-TF,7,13-18,v1,No,No
207,Finals week is approaching:,Color-coded schedule,Wing it daily,J,P,MBTI-JP,7,13-18,v1,No,No
208,You're team captain now:,Pump up everyone,Draw the plays,I,D,DISC-ID,7,13-18,v1,No,No
209,First day at new school:,Introduce yourself,Observe quietly,I,C,DISC-IC,7,13-18,v1,No,No
210,Gap year dreams big:,Hostels solo travel,Squad group trip,O+,O-,Big5-O,7,13-18,v1,No,No
211,Party invite arrives tonight:,Excited to go,Maybe skip it,E,I,MBTI-EI,7,13-18,v1,No,No
212,Prom date ask time:,Big promposal,Private quiet ask,E+,E-,Big5-E,7,13-18,v1,No,No
213,College essay topic choice:,Meaningful personal story,List achievements,N,S,MBTI-SN,7,13-18,v1,No,No
214,Friend asks for brutally honest feedback:,Give hard truth,Softer gentle truth,T,F,MBTI-TF,7,13-18,v1,No,No
215,Weekend plan changes last minute:,Get annoyed,Get excited,J,P,MBTI-JP,7,13-18,v1,No,No
216,Group project partner isn't pulling weight:,Confront them directly,Do it yourself,D,S,DISC-DS,7,13-18,v1,No,No
217,Driver's license test coming up:,Manual rules study,Street smarts practice,C,D,DISC-CD,7,13-18,v1,No,No
218,New hobby to try out:,Creative unusual hobby,Practical useful skill,O+,O-,Big5-O,7,13-18,v1,No,No
219,Your room organization style:,Color-coded neat,Organized chaos,C+,C-,Big5-C,7,13-18,v1,No,No
220,Someone gossips about a friend:,Defend them strongly,Stay neutral,A+,A-,Big5-A,7,13-18,v1,No,No
221,Before a big game or performance:,Calm and focused,Nervous energy,N-,N+,Big5-N,7,13-18,v1,No,No
222,Part-time job interview:,Research prep deep,Wing it with charm,C,I,DISC-CI,7,13-18,v1,No,No
223,Social media post goes viral:,Love the attention,Feel exposed,E,I,MBTI-EI,7,13-18,v1,No,No
224,Planning senior trip details:,Handle logistics all,Go with the flow,D,S,DISC-DS,7,13-18,v1,No,No
225,Debate team topic assigned:,Research deep first,Improvise on spot,C,I,DISC-CI,7,13-18,v1,No,Yes
226,Weekend morning vibes:,Early bird rise,Sleep in late,E,I,MBTI-EI,7,13-18,v2,No,No
227,Friend needs advice now:,Listen patiently,Advise right away,I,E,MBTI-EI,7,13-18,v2,No,No
228,New recipe to try:,Follow recipe exactly,Wing it creatively,S,N,MBTI-SN,7,13-18,v2,No,No
229,Roommate conflict brewing up:,Chart the rules,Heart-to-heart talk,T,F,MBTI-TF,7,13-18,v2,No,No
230,Vacation planning style:,Planned itinerary full,Spontaneous adventure,J,P,MBTI-JP,7,13-18,v2,No,No
231,Group dinner bill arrives:,Take charge split,Go with flow,D,S,DISC-DS,7,13-18,v2,No,No
232,Party invite arrives:,Make big entrance,Find a friend,I,S,DISC-IS,7,13-18,v2,No,No
233,IKEA furniture arrives home:,Read all instructions,Figure it out,C,D,DISC-CD,7,13-18,v2,No,No
234,New music discovery:,Weird new genre,Trusted fave artist,O+,O-,Big5-O,7,13-18,v2,No,No
235,Deadline approaching fast:,Done early ahead,Last minute rush,C+,C-,Big5-C,7,13-18,v2,No,No
236,Meeting new people event:,Seek new faces,Stick old friends,E+,E-,Big5-E,7,13-18,v2,No,No
237,Someone cuts in line:,Speak up now,Let it go,A-,A+,Big5-A,7,13-18,v2,No,No
238,Crush texts you back:,Reply quick,Think response,E,I,MBTI-EI,7,13-18,v1,No,No
239,Study group session:,Lead discussion,Listen notes,S,N,MBTI-SN,7,13-18,v1,No,No
240,Bad grade feedback:,Argue teacher,Reflect improve,T,F,MBTI-TF,7,13-18,v1,No,No
241,Summer job choice:,Fun gig,Stable pay,J,P,MBTI-JP,7,13-18,v1,No,No
242,Online argument starts:,Debate hard,Block user,D,S,DISC-DS,7,13-18,v1,No,No
243,Playlist creation time:,Mix genres,Favorite repeats,I,S,DISC-IS,7,13-18,v1,No,No
244,New app download:,Explore features,Basic use,O+,O-,Big5-O,7,13-18,v1,No,No
245,School event planning:,Organize all,Help out,E+,E-,Big5-E,7,13-18,v1,No,No
246,Budget allowance money:,Save monthly,Spend weekly,C+,C-,Big5-C,7,13-18,v1,No,No
247,Help classmate study:,Tutor them,Group session,A+,A-,Big5-A,7,13-18,v1,No,No
248,Exam nerves hit:,Stay calm,Worry bad,N-,N+,Big5-N,7,13-18,v1,No,No
249,Club meeting dynamics:,Run agenda,Add ideas,D,C,DISC-DC,7,13-18,v1,No,No
250,Outfit choice daily:,Trendy new,Comfy old,C,D,DISC-CD,7,13-18,v1,No,No
251,Favorite subject class:,Math logic,Art creative,E,I,MBTI-EI,7,13-18,v1,No,No
252,Dream college pick:,Big campus,Small town,S,N,MBTI-SN,7,13-18,v1,No,No
253,Peer pressure moment:,Stand firm,Go along,T,F,MBTI-TF,7,13-18,v1,No,No
254,Daily schedule teen:,Strict routine,Flexible day,J,P,MBTI-JP,7,13-18,v1,No,No
255,Video game night:,Competitive win,Fun play,D,S,DISC-DS,7,13-18,v1,No,No
256,Social feed scroll:,Like everything,Selective posts,I,S,DISC-IS,7,13-18,v1,No,No
257,New trend try:,Jump in,Watch first,O+,O-,Big5-O,7,13-18,v1,No,No
258,Group chat active:,Reply fast,Quiet read,E+,E-,Big5-E,7,13-18,v1,No,No
259,Homework strategy:,Plan breaks,All at once,C+,C-,Big5-C,7,13-18,v1,No,No
260,Lend phone charger:,Yes anytime,No my battery,A+,A-,Big5-A,7,13-18,v1,No,No
261,Late night study:,Focused quiet,Stressed out,N-,N+,Big5-N,7,13-18,v1,No,No
262,Debate club join:,Argue side,Research facts,D,S,DISC-DS,7,13-18,v1,No,No
263,Book report due:,Summarize plot,Analyze themes,S,N,MBTI-SN,7,13-18,v1,No,No
264,Friend breakup hard:,Talk it out,Move on,T,F,MBTI-TF,7,13-18,v1,No,No
265,Weekend curfew set:,Follow rule,Bend it,J,P,MBTI-JP,7,13-18,v1,No,No
